Open,High,Low,Close,Volume
7863.200195,7937.200195,7863,7925.149902,122900
7929.200195,7942.149902,7902.75,7928.950195,113000
7938.600098,7944.75,7889.850098,7896.25,106800
7897.799805,7955.549805,7891.149902,7946.350098,150900
7924.549805,7937.549805,7781.100098,7791.299805,134700
7828.399902,7831.200195,7763.25,7784.649902,145200
7788.049805,7800.950195,7721.200195,7741,147100
7673.350098,7674.950195,7556.600098,7568.299805,188900
7611.649902,7634.100098,7581.049805,7601.350098,157400
7527.450195,7605.100098,7494.350098,7563.850098,189000
7587.200195,7588.299805,7487.799805,7510.299805,163900
7557.899902,7590.950195,7425.799805,7562.399902,215200
7467.399902,7604.799805,7443.799805,7536.799805,200800
7561.649902,7566.5,7427.299805,7437.799805,197500
7420.350098,7463.649902,7336.399902,7351,233600
7381.799805,7462.75,7364.149902,7435.100098,188300
7357,7470.899902,7241.5,7309.299805,225600
7376.649902,7398.700195,7250,7276.799805,240700
7355.700195,7433.399902,7327.600098,7422.450195,229200
7468.75,7487.149902,7421.200195,7436.149902,163200
7469.600098,7477.899902,7419.700195,7437.75,187600
7426.5,7468.850098,7409.600098,7424.649902,274500
7413.350098,7575.649902,7402.799805,7563.549805,298700
7589.5,7600.450195,7541.25,7555.950195,200400
7566.649902,7576.299805,7428.049805,7455.549805,230200
7392.450195,7419.399902,7350.299805,7361.799805,192000
7411.450195,7457.049805,7365.950195,7404,222700
7418.25,7503.149902,7406.649902,7489.100098,249800
7489.700195,7512.549805,7363.200195,7387.25,171500
7303.950195,7323.450195,7275.149902,7298.200195,212100
7264.299805,7271.850098,7177.75,7215.700195,246900
7203.600098,7208.649902,6959.950195,6976.350098,292300
7023.649902,7034.799805,6869,6980.950195,333900
7057.350098,7182.799805,7056.799805,7162.950195,354200
7201.25,7204.649902,7037.700195,7048.25,253800
7058.850098,7123.700195,6960.649902,7108.450195,260000
7177.399902,7215.100098,7127.850098,7191.75,246700
7170.549805,7226.850098,7145.950195,7210.75,192300
7208.850098,7252.399902,7200.700195,7234.549805,154400
7240.299805,7241.700195,7090.700195,7109.549805,194400
7075,7090.799805,7009.75,7018.700195,199700
7029.850098,7034.200195,6961.399902,6970.600098,283100
7039.299805,7052.899902,6985.100098,7029.75,206700
7050.450195,7094.600098,6825.799805,6987.049805,473400
7038.25,7235.5,7035.100098,7222.299805,275100
7321.700195,7380.350098,7308.149902,7368.850098,338500
7429.549805,7483.950195,7406.049805,7475.600098,278600
7505.399902,7505.899902,7444.100098,7485.350098,281700
7486.399902,7527.149902,7442.149902,7485.299805,257000
7436.100098,7539,7424.299805,7531.799805,245100
7545.350098,7547.100098,7447.399902,7486.149902,224700
7484.850098,7543.950195,7460.600098,7510.200195,198700
7542.600098,7583.700195,7515.049805,7538.75,166900
7535.850098,7545.200195,7452.799805,7460.600098,193700
7457.049805,7508,7405.149902,7498.75,195400
7557.399902,7585.299805,7479.399902,7512.549805,239600
7534.649902,7613.600098,7517.899902,7604.350098,237400
7619.200195,7713.549805,7617.700195,7704.25,196800
7695.549805,7728.200195,7643.799805,7714.899902,208900
7717.450195,7726.850098,7670.600098,7716.5,199600
7741,7749.399902,7587.700195,7615.100098,242400
7606.549805,7652.899902,7582.25,7597,216800
7651.100098,7741.950195,7643.450195,7735.200195,232600
7727.649902,7777.600098,7702,7738.399902,380100
7718.049805,7740.149902,7666.100098,7713.049805,183900
7733.149902,7764.450195,7704.399902,7758.799805,155500
7736.299805,7736.299805,7588.649902,7603.200195,203800
7636.049805,7638.649902,7591.75,7614.350098,165600
7630.399902,7630.75,7535.850098,7546.450195,234400
7542.350098,7569.350098,7526.700195,7555.200195,143400
7577.799805,7678.799805,7516.850098,7671.399902,179800
7669.25,7717.399902,7663.350098,7708.950195,163400
7777.149902,7864.799805,7772.200195,7850.450195,220400
7908.149902,7920.600098,7842.75,7914.700195,184600
7950.049805,7950.399902,7877.549805,7914.75,205300
7953.649902,7978.450195,7884.100098,7912.049805,223700
7891.799805,7923.350098,7873.350098,7899.299805,183300
7894.799805,7911,7827,7855.049805,146300
7828.149902,7974.5,7822.549805,7962.649902,202400
7942,7991,7940.549805,7979.899902,206800
7967.399902,7992,7834.450195,7847.25,292500
7844.25,7889.049805,7788.700195,7849.799805,243700
