Date,Open,High,Low,Close,Adj Close,Volume
12-10-2015,8231.5,8244.5,8128.200195,8143.600098,8143.600098,199100
13-10-2015,8121.950195,8150.25,8088.600098,8131.700195,8131.700195,145900
14-10-2015,8102.399902,8139.299805,8096.350098,8107.899902,8107.899902,138900
15-10-2015,8134.350098,8190.549805,8129.799805,8179.5,8179.5,167200
16-10-2015,8193.650391,8246.400391,8147.649902,8238.150391,8238.150391,156400
19-10-2015,8262.549805,8283.049805,8239.200195,8275.049805,8275.049805,124500
20-10-2015,8280.299805,8294.049805,8229.200195,8261.650391,8261.650391,155100
21-10-2015,8258.349609,8294.400391,8217.150391,8251.700195,8251.700195,144800
23-10-2015,8308.25,8328.099609,8280.75,8295.450195,8295.450195,152000
26-10-2015,8333.650391,8336.299805,8252.049805,8260.549805,8260.549805,133900
27-10-2015,8230.349609,8241.950195,8217.049805,8232.900391,8232.900391,156700
28-10-2015,8188.899902,8209.099609,8131.799805,8171.200195,8171.200195,188900
29-10-2015,8175.450195,8179.600098,8098,8111.75,8111.75,217500
30-10-2015,8123.549805,8146.100098,8044.399902,8065.799805,8065.799805,199500
02-11-2015,8054.549805,8060.700195,7995.600098,8050.799805,8050.799805,136100
03-11-2015,8086.350098,8100.350098,8031.75,8060.700195,8060.700195,132500
04-11-2015,8104.899902,8116.100098,8027.299805,8040.200195,8040.200195,122100
05-11-2015,8030.350098,8031.200195,7944.100098,7955.450195,7955.450195,132100
06-11-2015,7956.549805,8002.649902,7926.149902,7954.299805,7954.299805,219500
09-11-2015,7788.25,7937.75,7771.700195,7915.200195,7915.200195,211800
10-11-2015,7877.600098,7885.100098,7772.850098,7783.350098,7783.350098,165200
13-11-2015,7762.450195,7775.100098,7730.899902,7762.25,7762.25,160900
16-11-2015,7732.950195,7838.850098,7714.149902,7806.600098,7806.600098,149500
17-11-2015,7848.75,7860.450195,7793,7837.549805,7837.549805,145000
18-11-2015,7823.149902,7843.399902,7725.049805,7731.799805,7731.799805,143600
19-11-2015,7788.5,7854.899902,7765.450195,7842.75,7842.75,132600
